,Year,Institution_ID,Source_ID,Variant_Label,Experiment_ID,Annual_Mean_Temp
119,2019,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.85026469499297
120,2020,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.786323682555041
121,2021,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.819061033215684
122,2022,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.889657246611792
123,2023,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.079211777720253
124,2024,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.108933148562697
125,2025,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.017784824260788
126,2026,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.087365968236947
127,2027,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.226245627623413
128,2028,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.184402393376379
129,2029,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.397957845509408
130,2030,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.387574268425148
131,2031,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.32660530656811
132,2032,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.455284238218448
133,2033,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.583492956595952
134,2034,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.44313204404601
135,2035,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.478783771722263
136,2036,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.54688817212646
137,2037,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.595083290581913
138,2038,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.526043633191392
139,2039,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.662208611140507
140,2040,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.695722280177007
141,2041,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.694434615000306
142,2042,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.707329840774525
143,2043,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.71047565959595
144,2044,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.85125072221173
145,2045,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.912941102628949
146,2046,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,15.970540384204918
147,2047,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,16.07978178039131
148,2048,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,16.224170857939036
149,2049,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,16.317184570199707
150,2050,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,16.46201166340589
151,2051,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,16.67626520953576
152,2052,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,16.496983811578705
153,2053,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,16.600270426096106
154,2054,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,16.583973448155408
155,2055,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,16.641143428119147
156,2056,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,16.807924925922684
157,2057,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,16.899792722808858
158,2058,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,16.93808609766006
159,2059,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,16.99705443748638
160,2060,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,17.092819996660065
161,2061,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,17.24906409435086
162,2062,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,17.45587228619728
163,2063,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,17.258205579391298
164,2064,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,17.30226080815856
165,2065,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,17.400823121617766
166,2066,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,17.505165865631778
167,2067,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,17.633554509141973
168,2068,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,17.70744111306731
169,2069,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,17.81622326212413
170,2070,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,17.774674508004853
171,2071,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,17.7710489004281
172,2072,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.022180021522537
173,2073,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.117343999143085
174,2074,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.024787969519704
175,2075,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,17.945238296021227
176,2076,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.114934310553473
177,2077,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.31641645274371
178,2078,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.358097419801766
179,2079,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.448525951502056
180,2080,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.483321518170186
181,2081,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.47365423158546
182,2082,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.645916468785398
183,2083,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.535132382602022
184,2084,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.65971924384656
185,2085,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.854062300177947
186,2086,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.738987518838503
187,2087,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.8378613792156
188,2088,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,18.99818394252104
189,2089,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,19.132687144969605
190,2090,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,19.3516056526638
191,2091,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,19.094548219775135
192,2092,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,19.162721254751247
193,2093,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,19.3404563584982
194,2094,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,19.543527300124605
195,2095,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,19.49368926503464
196,2096,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,19.388343787237158
197,2097,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,19.4774045711586
198,2098,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,19.77144167395608
199,2099,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,20.121858711959906
0,1900,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,13.993667602731358
1,1901,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.167763154928231
2,1902,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.218519710714611
3,1903,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,13.843052707716028
4,1904,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,13.893054430258347
5,1905,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.008328799005405
6,1906,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,13.985316351756587
7,1907,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.015205535033479
8,1908,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,13.899307250039522
9,1909,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,13.926074467194079
10,1910,MOHC,HadGEM3-GC3.05,r001i1p01554,rcp85,14.156045442748692
